date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:09:22	344/344	---MCZ	200	added ('OK')	text/plain	date:Sun,%2012%20Oct%202025%2001:09:22%20GMT	https://emqore0.wordpress.com/robots.txt		(from )
02:09:23	73459/73459	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Oct%202025%2001:09:22%20GMT	https://emqore0.wordpress.com/	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/index.html	(from )
02:09:24	7718/7718	---MCZ	200	added ('OK')	text/css	etag:W/9480-1757676064385.3506	https://emqore0.wordpress.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1757676056i&cssminify=yes	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar8f2b.css	(from https://emqore0.wordpress.com/)
02:09:25	16449/16449	---MCZ	200	added ('OK')	text/css	etag:W/16449-1744959103045.0615	https://emqore0.wordpress.com/wp-content/plugins/gutenberg-core/v20.6.0/build/block-library/blocks/navigation/style.css?m=1744959081i&cssminify=yes	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/wp-content/plugins/gutenberg-core/v20.6.0/build/block-library/blocks/navigation/style00e5.css	(from https://emqore0.wordpress.com/)
02:09:25	9105/9105	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Oct%202025%2001:09:25%20GMT	https://emqore0.wordpress.com/feed/	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/feed/index.html	(from https://emqore0.wordpress.com/)
02:09:25	317/317	---M--	200	added ('OK')	text/css	etag:W/471-1684460928880.9634	https://emqore0.wordpress.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/wp-content/themes/h4/globalf753.css	(from https://emqore0.wordpress.com/)
02:09:26	6711/6711	---MCZ	200	added ('OK')	text/css	etag:W/%22678ec827-1a37%22	https://emqore0.wordpress.com/_static/??-eJx9i0EKhDAMAD9kTUWhJ/EtWmK3S9oUkyL+3npzL3ubgRk4i/GcFbOCfjChQKkbHJhYEUQvwt6LdPDqUjWFaohZWrcRh4YBWvXSf1NANsR+1cj5R8xOazyedUnz4EY3DdaO7nsDReQ8ww==&cssminify=yes	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/_static/indexf1ce.html	(from https://emqore0.wordpress.com/)
02:09:26	432/432	---M--	200	added ('OK')	text/css	etag:%226466d586-1b0%22	https://emqore0.wordpress.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/_static/indexd02a.html	(from https://emqore0.wordpress.com/)
02:09:26	854/854	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22441d73f51c000dcaafcecc24a5fa8446%22	https://emqore0.wordpress.com/comments/feed/	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/comments/feed/index.html	(from https://emqore0.wordpress.com/)
02:09:27	2481/2481	---MCZ	200	added ('OK')	application/javascript	etag:W/5444-1720530696823.1948	https://emqore0.wordpress.com/wp-content/js/rlt-proxy.js?m=1720530689i	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/wp-content/js/rlt-proxye978.js	(from https://emqore0.wordpress.com/)
02:09:28	860/860	---MCZ	200	added ('OK')	text/xml	date:Sun,%2012%20Oct%202025%2001:09:27%20GMT	https://emqore0.wordpress.com/xmlrpc.php?rsd	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/xmlrpc0db0.php	(from https://emqore0.wordpress.com/)
02:09:29	1336/1336	---MCZ	200	added ('OK')	application/xml	date:Sun,%2012%20Oct%202025%2001:09:28%20GMT	https://emqore0.wordpress.com/osd.xml	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/osd.xml	(from https://emqore0.wordpress.com/)
02:09:30	3388/3388	---MCZ	200	added ('OK')	application/javascript	etag:W/%226801f678-d3c%22	https://emqore0.wordpress.com/wp-content/plugins/gutenberg-core/v20.6.0/build-module/block-library/navigation/view.min.js?m=1744959081i&ver=38dd13322236f359c8a9	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/wp-content/plugins/gutenberg-core/v20.6.0/build-module/block-library/navigation/view.mine048.js	(from https://emqore0.wordpress.com/)
02:09:31	37841/37841	---MCZ	200	added ('OK')	application/javascript	etag:W/%226801f678-93d1%22	https://emqore0.wordpress.com/wp-content/plugins/gutenberg-core/v20.6.0/build-module/interactivity/index.min.js?m=1744959081i&ver=d9948f13df6155717023	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/wp-content/plugins/gutenberg-core/v20.6.0/build-module/interactivity/index.min2f0c.js	(from https://emqore0.wordpress.com/)
02:09:32	655/655	---MCZ	200	added ('OK')	application/javascript	etag:W/1125-1684465184641.707	https://emqore0.wordpress.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1610363240i	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoe8bd.js	(from https://emqore0.wordpress.com/)
02:09:32	87500/87500	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Oct%202025%2001:09:32%20GMT	https://emqore0.wordpress.com/2025/10/12/debtors/	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/2025/10/12/debtors/index.html	(from https://emqore0.wordpress.com/)
02:09:32	75916/75916	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Oct%202025%2001:09:32%20GMT	https://emqore0.wordpress.com/about/	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/about/index.html	(from https://emqore0.wordpress.com/)
02:09:32	87770/87770	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Oct%202025%2001:09:32%20GMT	https://emqore0.wordpress.com/2025/10/12/administrators/	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/2025/10/12/administrators/index.html	(from https://emqore0.wordpress.com/)
02:09:34	13777/13777	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268c15b0d-35d1%22	https://emqore0.wordpress.com/wp-content/js/bilmur.min.js?i=16&m=202541	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/wp-content/js/bilmur.min00e5.js	(from https://emqore0.wordpress.com/)
02:09:35	1237/1237	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226466d589-4d5%22	https://emqore0.wordpress.com/wp-content/blog-plugins/marketing-bar/images/wpcom-mark.svg	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/wp-content/blog-plugins/marketing-bar/images/wpcom-mark.svg	(from https://emqore0.wordpress.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1757676056i&cssminify=yes)
02:09:35	94186/94186	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Oct%202025%2001:09:34%20GMT	https://emqore0.wordpress.com/2025/10/11/hello-world/	/Users/jehmukkar/Desktop/emqore0-static/emqore0.wordpress.com/2025/10/11/hello-world/index.html	(from https://emqore0.wordpress.com/)
